MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_3052022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4 / E-Tester260   No. 500
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,25,0.1
,,SPEC min,0,2500,23,0.09
LOT,No.,Judge
A1234,1,NG,,3505,23.868,0.078,END,1,10,30/5/2022,13:47:56
A1234,3,NG,,3454,24.024,0.079,END,2,10,30/5/2022,13:49:23
A1234,4,NG,,3505,23.868,0.078,END,1,10,30/5/2022,13:49:41
A1234,1,NG,,3445,23.868,0.078,END,1,10,30/5/2022,13:51:2
A1234,1,NG,,----,----,----,END,1,10,30/5/2022,13:51:10
A1234,2,NG,,3445,23.868,0.077,END,1,10,30/5/2022,13:51:36
A1234,3,NG,,3462,24.024,0.079,END,2,10,30/5/2022,13:52:21
MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_3052022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4 / E-Tester260   No. 500
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,25,0.1
,,SPEC min,0,2500,23,0.09
LOT,No.,Judge
A1234,5,NG,,3300,23.868,0.078,END,1,5,30/5/2022,13:54:4
A1234,5,,,0,0,0,END,1,5,30/5/2022,13:54:25
A1234,1,NG,,3351,23.868,0.078,END,1,5,30/5/2022,14:1:58
A1234,8,NG,,3317,23.868,0.077,END,1,5,30/5/2022,14:6:19
A1234,8,,,0,0,0,END,1,5,30/5/2022,14:6:22
A1234,8,NG,,3222,23.868,0.081,END,1,5,30/5/2022,14:7:50
A1234,9,NG,,3351,24.024,0.082,END,2,5,30/5/2022,14:8:21
A1234,9,,,0,0,0,END,2,5,30/5/2022,14:8:32
A1234,9,NG,,3308,24.024,0.081,END,2,5,30/5/2022,14:9:33
A1234,10,NG,,3308,23.868,0.08,END,1,5,30/5/2022,14:9:42
A1234,10,,,0,0,0,END,1,5,30/5/2022,14:9:46
A1234,11,NG,,3360,23.868,0.079,END,1,5,30/5/2022,14:10:33
A1234,11,,,0,0,0,END,1,5,30/5/2022,14:10:37
