MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_662022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,30.5,0.1
,,SPEC min,0,200,20.3,0.03
LOT,No.,Judge
A1234,2,NG,,-----,26.9,0.064,END,1,10,6/6/2022,6:24:33
A1234,2,NG,,-----,26.9,0.064,END,1,10,6/6/2022,6:37:28
A1234,4,NG,,-----,26.9,0.064,END,1,10,6/6/2022,6:44:13
A1234,3,NG,,-----,-----,0.06,END,1,10,6/6/2022,6:44:33
A1234,3,NG,,----,26.9,0.064,END,1,10,6/6/2022,6:44:55
A1234,3,NG,,-----,26.9,0.056,END,1,10,6/6/2022,6:45:6
A1234,3,,,----,0,0,END,1,10,6/6/2022,6:45:48
A1234,4,NG,,----,26.9,0.064,END,1,10,6/6/2022,6:48:11
A1234,5,NG,,231,26.9,0.064,END,1,10,6/6/2022,6:52:53
A1234,6,OK,,548,26.9,0.064,END,1,10,6/6/2022,6:53:29
A1234,7,NG,,480,26.9,0.064,END,1,10,6/6/2022,6:55:48
A1234,8,NG,,368,26.9,0.064,END,1,10,6/6/2022,6:56:21
A1234,9,OK,,308,26.9,0.09,END,1,10,6/6/2022,6:59:20
A1234,10,NG,,0,26.9,0.09,END,1,10,6/6/2022,7:0:5
A1234,11,OK,,3154,20.8,0.067,END,1,10,6/6/2022,9:52:27
A1234,11,,,2922,20.9,0.061,END,2,10,6/6/2022,9:52:44
A1234,13,NG,,3060,20.9,0.07,END,1,10,6/6/2022,9:53:7
A1234,14,,,0,0,0,END,1,10,6/6/2022,9:53:33
A1234,15,OK,,2991,20.9,0.069,END,2,10,6/6/2022,9:53:50
A1234,16,,,2768,20.9,0.062,END,2,10,6/6/2022,9:54:15
A1234,18,OK,,3094,20.9,0.068,END,2,10,6/6/2022,9:57:29
A1234,19,,,1157,21,0.068,END,1,10,6/6/2022,9:58:32
A1234,20,,,0,19.6,0.034,END,1,10,6/6/2022,9:58:47
A1234,22,OK,,3145,20.8,0.067,END,1,10,6/6/2022,9:59:27
A1234,23,NG,,3008,20.9,0.034,END,2,10,6/6/2022,9:59:43
A1234,24,OK,,-----,-----,-----,END,2,10,6/6/2022,10:7:1
A1234,25,OK,,3034,21.1,0.068,END,2,10,6/6/2022,10:7:42
A1234,27,,,1517,20.9,0.069,END,1,10,6/6/2022,10:8:33
A1234,28,,,2974,20.9,0.034,END,2,10,6/6/2022,10:8:49
A1234,30,OK,,2922,20.9,0.069,END,2,10,6/6/2022,10:9:22
A1234,31,,,3008,21,0.034,END,2,10,6/6/2022,10:9:41
A1234,34,,,2888,20.9,0.034,END,2,10,6/6/2022,10:10:26
A1234,37,NG,,3077,20.7,0.034,END,1,10,6/6/2022,10:13:31
A1234,37,,,274,20.7,0.034,END,1,10,6/6/2022,10:13:40
A1234,38,,,2948,20.9,0.034,END,2,10,6/6/2022,10:13:58
A1234,39,,,77,20.9,0.068,END,1,10,6/6/2022,10:14:9
A1234,41,,,0,0,0,END,2,10,6/6/2022,10:14:50
A1234,42,,,2940,20.8,0.034,END,1,10,6/6/2022,10:16:28
A1234,42,OK,,3017,20.8,0.068,END,1,10,6/6/2022,10:21:41
A1234,42,OK,,-----,-----,-----,END,1,10,6/6/2022,10:22:28
A1234,43,OK,,-----,-----,-----,END,1,10,6/6/2022,10:23:33
A1234,43,OK,,----,----,----,END,1,10,6/6/2022,10:24:4
A1234,43,OK,,----,----,----,END,1,10,6/6/2022,10:24:5
A1234,43,OK,,----,----,----,END,2,10,6/6/2022,10:24:8
A1234,44,OK,,-----,-----,-----,END,1,10,6/6/2022,10:24:19
A1234,45,OK,,-----,-----,-----,END,1,10,6/6/2022,10:25:3
A1234,45,OK,,-----,-----,-----,END,1,10,6/6/2022,10:26:6
A1234,45,OK,,-----,-----,-----,END,1,10,6/6/2022,10:26:8
A1234,45,OK,,-----,-----,-----,END,1,10,6/6/2022,10:26:10
A1234,45,OK,,-----,-----,-----,END,1,10,6/6/2022,10:26:11
A1234,45,OK,,-----,-----,-----,END,1,10,6/6/2022,10:26:12
A1234,46,NG,,3000,20.9,0.034,END,1,10,6/6/2022,10:27:9
A1234,49,NG,,3154,20.7,0.034,END,1,10,6/6/2022,10:28:58
A1234,50,NG,,3077,20.9,0.034,END,2,10,6/6/2022,10:29:22
A1234,52,NG,,3000,20.9,0.034,END,2,10,6/6/2022,10:30:22
A1234,45,OK,,3042,20.9,0.069,END,1,10,6/6/2022,10:38:16
A1234,45,OK,,3077,20.9,0.069,END,1,10,6/6/2022,10:40:44
A1234,45,OK,,3137,20.8,0.066,END,1,10,6/6/2022,10:42:12
A1234,50,NG,,3008,20.5,0.034,END,2,10,6/6/2022,10:59:23
A1234,53,NG,,3042,20.6,0.034,END,2,10,6/6/2022,11:0:5
A1234,50,OK,,3085,20.4,0.065,END,1,10,6/6/2022,11:1:6
A1234,50,OK,,2451,20.5,0.034,END,2,10,6/6/2022,11:1:12
A1234,53,OK,,3017,20.8,0.068,END,2,10,6/6/2022,11:4:19
A1234,53,OK,,2657,20.5,0.034,END,1,10,6/6/2022,11:4:23
A1234,54,OK,,2588,20.7,0.034,END,2,10,6/6/2022,11:4:34
A1234,56,OK,,3042,20.5,0.067,END,1,10,6/6/2022,11:6:23
A1234,56,OK,,2545,20.6,0.034,END,2,10,6/6/2022,11:6:27
