MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\SPEC.txt
Data file,C:\NidecDAQ\Data\SAVE_B1234_762022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,26.5,0.1
,,SPEC min,0,2500,22.5,0.03
LOT,No.,Judge
B1234,11,NG,8935049510864,2897,20.7,0.069,END,2,10,7/6/2022,12:1:34
MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\SPEC.txt
Data file,C:\NidecDAQ\Data\SAVE_B1234_762022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,26.5,0.1
,,SPEC min,0,2500,22.5,0.03
LOT,No.,Judge
B1234,12,NG,8935049510864,2956,20.6,0.068,END,1,10,7/6/2022,12:2:3
B1234,13,NG,8935049510864,2973,20.6,0.068,END,1,10,7/6/2022,12:2:27
B1234,14,NG,8935049510864,2956,20.6,0.069,END,2,10,7/6/2022,12:4:21
MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\SPEC.txt
Data file,C:\NidecDAQ\Data\SAVE_B1234_762022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,26.5,0.1
,,SPEC min,0,2500,22.5,0.03
LOT,No.,Judge
B1234,16,NG,8935049510864,2989,20.5,0.067,END,1,10,7/6/2022,12:9:32
